Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	10079	-	0	0	0	0	0	0	4	403	0	0	0	0	0	0	0	0	0	0	144	176	0	0	1	3	0	1
fsh-generated/resources/StructureDefinition-eclaire-recruitment-period.json	1571	59	0	0	0	0	0	166	1	153	0	0	0	0	0	0	0	2	0	0	33	1569	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1674	58	1	0	0	0	0	148	0	161	0	0	0	0	0	0	0	0	0	0	23	487	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-condition-details.json	1559	57	0	0	0	0	0	140	0	132	0	0	0	0	0	0	0	0	0	0	22	357	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-type-contact-vs.json	495	9	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	5	6111	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-title-type-vs.json	587	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	5	81	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1150	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	7	63	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-eclaire-location.json	1311	22	0	0	0	0	0	852	0	820	0	0	0	0	0	0	0	2	0	0	271	1339	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-eclaire-study-phase-source-code-system.json	1821	10	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	44	0	0	0	0	0	0
fsh-generated/resources/ResearchStudy-2022-500520-30-00.json	3918	14	0	0	0	0	0	0	0	43	0	1	0	0	0	0	0	0	0	0	30	37	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2764	11	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	9	27	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-researchstudy.json	8731	321	0	0	0	0	0	1567	1	1481	0	0	0	0	0	0	0	1	0	0	398	1734	0	0	0	11	0	2
fsh-generated/resources/ValueSet-eclaire-study-phase-source-vs.json	598	3	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	6	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-therapeutic-area.json	1551	52	1	0	0	0	0	137	0	126	0	0	0	0	0	0	0	0	0	0	20	136	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-secondary-sponsor.json	1645	52	0	0	0	0	0	137	0	127	0	0	0	0	0	0	0	0	0	0	21	144	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-review-date.json	1682	52	0	0	0	0	0	137	0	127	0	0	0	0	0	0	0	0	0	0	21	135	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-title-type-code-system.json	2638	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	41	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-label.json	3245	138	0	0	0	0	0	408	0	365	0	0	1	0	0	0	0	0	0	0	61	282	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-eclaire-study-phase-concept-map.json	3308	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	31	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-study-status-vs.json	501	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	69	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	747	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	62	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-eclaire-site-contact-name.json	1538	51	0	0	0	0	0	137	0	154	0	0	0	0	0	0	0	0	0	0	20	156	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	562	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	40	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-study-phase-vs.json	608	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	309	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	36	0	0	0	0	0	0
