Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	13960	-	0	0	0	0	0	0	5	104	0	0	0	0	0	0	0	1	0	0	169	99	0	0	0	5	0	1
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	13	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	19	60	0	1	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-reglementation-precision-code-system.json	1919	13	0	0	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	26	2702	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-regulation-code-code-system.json	704	9	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	11	126	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	661	10	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	85	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-source-code-system.json	1821	10	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	22	110	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-population-code-system.json	1610	16	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	16	85	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1150	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17	94	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-title-type-code-system.json	2638	12	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	23	86	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	562	10	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	9	75	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-phase-concept-map.json	3295	14	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	1	30	88	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2764	13	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	23	79	0	0	0	1	0	0
fsh-generated/resources/ResearchStudy-fake-study-example.json	6922	27	1	0	0	0	0	0	1	181	0	0	0	0	0	0	0	0	0	0	32	39	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-eclaire-contact-address.json	1470	12	0	0	0	0	0	50	0	61	0	0	0	0	0	0	0	0	0	0	49	920	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-affiliation.json	1493	11	0	0	0	0	0	39	0	26	0	0	0	0	0	0	0	0	0	0	47	252	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-name.json	1454	10	0	0	0	0	0	26	0	24	0	0	0	0	0	0	0	1	0	1	49	242	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1674	9	0	0	0	0	0	26	0	26	0	0	0	0	0	0	0	0	0	0	49	200	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-group.json	1020	4	0	0	0	0	0	125	0	86	0	0	0	0	0	0	0	1	0	0	192	663	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-eclaire-label-r5.json	2904	6	0	0	0	0	0	64	0	52	0	0	0	0	0	0	0	0	0	0	121	268	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-eclaire-location.json	1311	3	0	0	0	0	0	169	0	207	0	0	0	0	0	0	0	1	0	0	246	752	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-eclaire-recruitment-period.json	1571	4	0	0	0	0	0	31	0	26	0	0	1	0	0	0	0	0	0	0	49	168	0	0	0	2	0	0
