Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	13722	-	0	0	0	0	0	0	5	78	0	0	0	0	0	0	0	1	0	0	134	115	0	0	0	8	0	0
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	10	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-reglementation-precision-code-system.json	1847	11	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	22	2360	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-regulation-code-code-system.json	704	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	115	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	661	2	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	100	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-source-code-system.json	1821	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-population-code-system.json	1561	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	101	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1150	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	13	46	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-title-type-code-system.json	2638	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	20	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	562	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	74	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-phase-concept-map.json	3295	4	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	27	61	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2764	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	1	0	0
fsh-generated/resources/ResearchStudy-fake-study-example.json	6968	9	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	37	49	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-eclaire-contact-address.json	1470	3	0	0	0	0	0	38	1	57	0	0	1	0	0	0	0	0	0	0	47	519	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-affiliation.json	1493	3	0	0	0	0	0	24	0	30	0	0	0	0	0	0	0	1	0	0	47	188	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-name.json	1454	3	0	0	0	0	0	22	0	14	0	0	0	0	0	0	0	0	0	0	56	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1674	3	1	0	0	0	0	30	0	20	0	0	0	0	0	0	0	0	0	0	51	215	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-group.json	1020	2	0	0	0	0	0	175	0	73	0	0	0	0	0	0	0	1	0	0	172	602	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-eclaire-label.json	2979	5	0	0	0	0	0	44	0	41	0	0	0	0	0	0	0	0	0	0	100	224	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-eclaire-location.json	1311	2	0	0	0	0	0	131	0	131	0	0	0	0	0	0	0	1	0	0	236	577	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-eclaire-recruitment-period.json	1571	3	0	0	0	0	0	23	0	62	0	0	1	0	0	0	0	0	0	0	41	108	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-eclaire-researchstudy.json	11132	13	1	0	0	0	0	230	0	221	0	0	2	0	0	0	0	3	0	0	506	848	0	1	0	12	0	0
