Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	8461	-	0	0	0	0	0	0	9	398	0	0	0	0	0	0	0	0	0	0	108	210	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-eclaire-recruitment-period.json	1571	59	0	0	1	0	0	129	0	167	0	0	1	0	0	0	0	1	0	0	33	1311	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1674	58	0	0	0	0	0	162	0	162	0	0	0	0	0	0	0	0	0	0	25	350	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-eclaire-condition-details.json	1559	57	0	0	0	0	0	138	0	136	0	0	0	0	0	0	0	0	0	0	20	319	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-type-contact-vs.json	495	8	1	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	5	5161	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1125	9	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-location.json	1311	22	0	0	0	0	0	834	0	814	0	0	0	0	0	0	0	1	0	0	232	1672	0	0	0	7	0	1
fsh-generated/resources/ResearchStudy-2022-500520-30-00.json	3918	13	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	45	37	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2770	11	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	9	41	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-researchstudy.json	8731	340	0	0	0	0	0	1638	0	1573	0	0	0	0	0	0	0	0	0	0	383	1767	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-eclaire-therapeutic-area.json	1551	57	0	0	0	0	0	137	0	126	0	0	0	0	0	0	0	0	0	0	21	153	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-secondary-sponsor.json	1645	57	0	0	0	0	0	137	0	126	0	0	0	0	0	0	0	0	0	0	20	157	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-review-date.json	1679	56	0	0	0	0	0	137	0	130	0	0	0	0	0	0	0	0	0	0	20	150	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-label.json	3390	142	0	0	0	0	0	406	0	366	0	0	0	0	0	0	0	1	0	0	60	258	0	0	0	3	0	0
fsh-generated/resources/ValueSet-eclaire-study-status-vs.json	501	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	69	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	580	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	52	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-eclaire-site-contact-name.json	1538	56	0	0	0	0	0	143	0	155	0	0	0	0	0	0	0	0	0	0	20	171	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	537	8	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	46	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-phase-vs.json	607	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	80	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	9	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	30	0	0	0	0	0	1
