Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	11413	-	0	0	0	0	0	0	5	85	0	0	0	0	0	0	0	1	0	0	131	123	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-eclaire-review-date.json	1682	10	0	0	0	0	0	19	1	44	0	0	0	0	0	0	0	0	0	0	51	1459	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1674	9	0	0	0	0	0	18	0	21	0	0	0	0	0	0	0	0	0	0	51	453	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-study-phase-vs.json	608	8	1	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	10	5638	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-type-contact-vs.json	495	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-address.json	1470	11	0	0	0	0	0	20	0	30	0	0	0	0	0	0	0	0	0	0	45	233	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-location.json	1311	10	0	0	0	0	0	220	0	154	0	0	0	0	0	0	0	1	0	0	244	711	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-eclaire-therapeutic-area.json	1551	10	0	0	0	0	0	26	0	39	0	0	1	0	0	0	0	0	0	0	46	124	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-eclaire-study-phase-concept-map.json	3295	11	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	22	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	661	7	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	10	42	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-status-vs.json	501	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	70	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-eclaire-researchstudy.json	10592	18	0	0	0	0	0	257	0	173	0	0	0	0	0	0	0	11	0	0	469	914	0	0	0	30	0	1
fsh-generated/resources/ResearchStudy-2022-500520-30-00.json	3918	12	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	25	23	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-title-type-vs.json	587	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	7	70	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	9	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	11	30	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2764	10	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	17	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1150	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-source-code-system.json	1821	3	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	19	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	562	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	40	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-name.json	1454	2	0	0	0	0	0	16	0	20	0	0	0	0	0	0	0	0	0	0	43	86	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-eclaire-recruitment-period.json	1571	4	0	0	0	0	0	16	0	18	0	0	0	0	0	0	0	0	0	0	42	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-secondary-sponsor.json	1645	2	0	0	0	0	0	16	0	52	0	0	0	0	0	0	0	0	0	0	44	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-affiliation.json	1493	3	0	0	0	0	0	16	0	19	0	0	0	0	0	0	0	0	0	0	42	66	0	0	0	9	0	0
fsh-generated/resources/ValueSet-eclaire-study-phase-source-vs.json	598	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	45	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-eclaire-site-contact-name.json	1538	3	0	0	0	0	0	15	0	18	0	0	0	0	0	0	0	0	0	0	43	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-label.json	2979	4	0	0	0	0	0	36	0	40	0	0	0	0	0	0	0	1	0	0	101	187	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-eclaire-study-title-type-code-system.json	2638	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18	26	0	0	0	1	0	0
