Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	15472	-	0	0	0	0	0	0	5	83	0	0	0	0	0	0	0	1	0	0	179	149	0	0	0	6	0	0
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	5	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	1	35	36	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-group-characteristic-kind-code-system.json	945	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	19	1440	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-eclaire-reglementation-precision-code-system.json	1919	5	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	28	170	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-regulation-code-code-system.json	704	3	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	661	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-source-code-system.json	1821	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-population-code-system.json	1610	3	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	23	43	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1150	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	21	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-title-type-code-system.json	2638	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	29	43	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	562	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	29	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-phase-concept-map.json	3295	8	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	38	28	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2764	7	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	30	22	0	0	0	1	0	0
fsh-generated/resources/ResearchStudy-fake-study-example.json	6922	12	1	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	37	33	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-address.json	1470	4	0	0	0	0	0	24	0	32	0	0	0	0	0	0	0	0	0	0	53	417	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-affiliation.json	1493	3	0	0	0	0	0	20	0	15	0	0	0	0	0	0	0	0	0	0	56	185	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-name.json	1454	4	0	0	0	0	0	19	0	15	0	0	0	0	0	0	0	0	0	0	49	176	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1674	3	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	0	0	52	132	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-group.json	1840	4	0	0	0	0	0	97	0	101	0	0	0	0	0	0	0	1	0	0	202	380	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-eclaire-label-r5.json	3162	6	0	0	0	0	0	63	0	40	0	0	0	0	0	0	0	0	0	0	123	177	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-eclaire-location.json	1311	3	1	0	0	0	0	123	0	122	0	0	0	0	0	0	0	0	0	0	229	411	0	0	0	6	0	0
