Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	6279	-	0	0	0	0	0	0	8	126	0	0	0	0	0	0	0	1	0	0	108	131	0	0	1	4	0	1
fsh-generated/resources/StructureDefinition-eclaire-secondary-sponsor.json	1645	15	6	0	0	0	0	33	1	67	0	0	1	0	0	0	0	0	0	0	60	1217	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-therapeutic-area.json	1551	13	1	0	0	0	0	29	0	27	0	0	0	0	0	0	0	0	0	0	47	297	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	11	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	10	42	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-type-contact-vs.json	495	19	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	5	5070	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-recruitment-period.json	1571	13	0	0	0	0	0	29	0	34	0	0	0	0	0	0	0	0	0	0	47	166	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-review-date.json	1679	12	0	0	0	0	0	29	0	27	0	0	0	0	0	0	0	1	0	0	47	153	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1674	13	0	0	0	0	0	29	0	28	0	0	0	0	0	0	0	0	0	0	43	153	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-condition-details.json	1559	12	0	0	0	0	0	28	0	92	0	0	0	0	0	0	0	0	0	0	42	160	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-researchstudy.json	7345	30	0	0	0	0	0	320	0	294	0	0	0	0	0	0	0	2	0	0	424	1849	0	0	0	14	0	1
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	537	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	51	0	0	0	1	0	0
